timestamp,open,high,low,close,volume
1787474100000,2414.41,2414.98,2412.57,2414.55,430.9561
1787474160000,2414.54,2415.06,2413.99,2414.65,115.0323
1787474220000,2414.65,2417.75,2414.64,2417.58,398.6626
1787474280000,2417.57,2422,2416,2419.6,1088.3368
1787474340000,2419.6,2419.6,2417,2418.12,315.024
1787474400000,2418.12,2421.22,2417.15,2421.22,234.8543
1787474460000,2421.23,2426.03,2419.18,2420.76,1060.187
1787474520000,2420.76,2423.16,2419.68,2420.5,290.635
1787474580000,2420.49,2421.82,2420.42,2420.8,211.9064
1787474640000,2420.8,2422.09,2419.7,2419.71,251.5806
1787474700000,2419.7,2421.65,2419.48,2421.24,139.2381
1787474760000,2421.24,2421.66,2419.93,2420.1,229.5107
1787474820000,2420.1,2420.1,2416.64,2417.4,302.8576
1787474880000,2417.39,2418.2,2416.27,2416.62,176.7233
1787474940000,2416.61,2416.81,2415.2,2415.21,116.396
1787475000000,2415.2,2415.6,2414.49,2414.5,156.1647
1787475060000,2414.5,2416.62,2414.23,2416.6,138.8146
1787475120000,2416.6,2417.59,2416.6,2417.05,79.7807
1787475180000,2417.04,2417.04,2415.17,2415.45,111.3319
1787475240000,2415.45,2415.76,2415.14,2415.66,41.4431
1787475300000,2415.65,2415.65,2415.13,2415.46,35.0153
1787475360000,2415.47,2416,2411.38,2412.31,683.5806
1787475420000,2412.3,2412.31,2411.4,2411.69,174.7807
1787475480000,2411.7,2411.7,2410.86,2411.29,133.793
1787475540000,2411.28,2412.46,2411.28,2412.46,102.7787
1787475600000,2412.45,2412.45,2410.64,2410.82,128.4564
1787475660000,2410.82,2414.02,2410.82,2413.83,191.1483
1787475720000,2413.84,2415.06,2413.84,2414.63,113.6358
1787475780000,2414.64,2415.43,2413.22,2413.23,89.3248
1787475840000,2413.22,2416.17,2413.22,2415.09,225.3578
1787475900000,2415.08,2415.92,2415.08,2415.91,74.4261
1787475960000,2415.91,2415.91,2414.6,2414.61,86.5599
1787476020000,2414.6,2415.14,2414.26,2414.26,93.3026
1787476080000,2414.25,2414.25,2412.66,2412.9,69.2086
1787476140000,2412.9,2414.02,2412.89,2413.3,53.8357
1787476200000,2413.3,2413.84,2412.75,2413.07,141.594
1787476260000,2413.07,2413.54,2413,2413,85.0879
1787476320000,2413,2413,2411.82,2411.83,167.405
1787476380000,2411.84,2412.85,2411.83,2412.84,50.9884
1787476440000,2412.85,2413.85,2412.85,2412.97,59.8015
1787476500000,2412.98,2413.58,2412.82,2413.37,92.052
1787476560000,2413.38,2413.61,2412.19,2412.31,94.6824
1787476620000,2412.3,2412.3,2411,2411.86,81.7036
1787476680000,2411.86,2411.86,2410.98,2411.32,41.3984
1787476740000,2411.32,2413.02,2411.32,2411.99,133.7192
1787476800000,2412,2412,2408,2409.34,562.8512
1787476860000,2409.34,2409.47,2407.26,2409.46,487.6668
1787476920000,2409.46,2411.23,2409.39,2411.01,87.1565
1787476980000,2411,2411.01,2410.05,2410.05,37.8071
1787477040000,2410.06,2410.06,2407.65,2408.12,157.002
1787477100000,2408.13,2409.1,2408.13,2408.67,110.1805
1787477160000,2408.67,2410.76,2408.67,2410.45,198.5788
1787477220000,2410.46,2412.05,2410.42,2410.63,200.8786
1787477280000,2410.63,2411.46,2410.63,2410.77,51.0871
1787477340000,2410.76,2411.04,2410.67,2410.72,42.9273
1787477400000,2410.72,2410.72,2407.86,2408.38,60.4415
1787477460000,2408.38,2408.62,2407.11,2407.84,74.8868
1787477520000,2407.84,2408.39,2407.83,2407.9,25.5388
1787477580000,2407.91,2408.48,2407.66,2408.44,82.1367
1787477640000,2408.45,2408.48,2407.69,2407.7,22.3766
1787477700000,2407.71,2407.9,2404.51,2406.91,642.5367
1787477760000,2406.91,2408.86,2406.36,2408.81,132.5032
1787477820000,2408.8,2409.12,2408.65,2408.96,60.7025
1787477880000,2408.96,2408.96,2407.01,2407.94,113.1222
1787477940000,2407.94,2409.28,2407.47,2409.28,81.6313
1787478000000,2409.28,2410,2409.28,2410,58.1952
1787478060000,2409.99,2412.41,2409.99,2411.11,569.8843
1787478120000,2411.11,2411.51,2410.66,2411.51,33.5853
1787478180000,2411.51,2412.31,2411.48,2411.8,196.5705
1787478240000,2411.81,2411.94,2411.8,2411.8,16.489
1787478300000,2411.8,2413.13,2411.8,2412.12,132.8339
1787478360000,2412.13,2412.13,2410.4,2410.4,766.2539
1787478420000,2410.4,2412.97,2410,2412.96,430.3873
1787478480000,2412.96,2414.98,2412.96,2414.98,258.947
1787478540000,2414.99,2415,2413.9,2414.06,156.0657
1787478600000,2414.05,2414.99,2413.91,2414.99,86.3657
1787478660000,2415,2415.17,2414.64,2414.89,98.7083
1787478720000,2414.89,2415.36,2414.14,2414.73,191.0251
1787478780000,2414.73,2415.7,2413.68,2413.68,123.9912
1787478840000,2413.68,2414.02,2413.58,2413.83,76.4539
1787478900000,2413.83,2414.28,2413.64,2413.87,62.8566
1787478960000,2413.86,2413.87,2413.31,2413.31,17.7778
1787479020000,2413.31,2413.68,2413.3,2413.44,26.3993
1787479080000,2413.44,2413.8,2412.21,2412.22,186.7162
1787479140000,2412.22,2412.8,2411.2,2411.2,539.9972
1787479200000,2411.2,2413.01,2410.84,2413,256.642
1787479260000,2413,2413.17,2411.67,2411.67,52.3366
1787479320000,2411.67,2413.43,2411.4,2413.43,110.229
1787479380000,2413.43,2414.5,2413.42,2413.99,46.8592
1787479440000,2413.98,2414.48,2413.28,2413.86,50.1519
1787479500000,2413.86,2416.08,2413.86,2416.07,115.612
1787479560000,2416.08,2417.14,2415.82,2416.09,156.6407
1787479620000,2416.09,2416.78,2414.6,2415.09,408.6914
1787479680000,2415.09,2415.49,2414.25,2414.25,82.6122
1787479740000,2414.25,2414.27,2413.95,2414.17,38.1041
1787479800000,2414.17,2415.01,2414.17,2414.29,171.1022
1787479860000,2414.28,2414.28,2413.48,2413.49,83.1101
1787479920000,2413.5,2414.57,2413.33,2413.66,117.2752
1787479980000,2413.67,2413.84,2412.42,2412.43,76.8818
1787480040000,2412.43,2414.02,2411.95,2414.02,219.216
1787480100000,2414.02,2415.41,2414.01,2414.8,351.8744
1787480160000,2414.79,2415.44,2414.25,2415.43,114.6952
1787480220000,2415.43,2415.43,2414.62,2415.11,48.4278
1787480280000,2415.11,2415.54,2415.01,2415.01,27.199
1787480340000,2415.01,2415.68,2414.13,2414.97,120.4103
1787480400000,2414.97,2416.56,2414.78,2416.35,87.1333
1787480460000,2416.38,2419.86,2416.36,2418.99,300.9163
1787480520000,2418.98,2420.89,2415.5,2417.48,569.9862
1787480580000,2417.49,2417.69,2416.04,2416.55,106.9643
1787480640000,2416.55,2417.16,2415.76,2417.16,86.1184
1787480700000,2417.18,2418.12,2415.82,2416,160.6742
1787480760000,2415.99,2416.78,2415.79,2415.99,79.9218
1787480820000,2415.98,2416.19,2415.77,2415.88,53.1591
1787480880000,2415.88,2415.88,2413.43,2413.48,320.7731
1787480940000,2413.48,2414.21,2413.22,2413.54,114.6317
1787481000000,2413.54,2414.65,2413.38,2413.49,65.9598
1787481060000,2413.49,2414.57,2412.81,2414.17,200.5093
1787481120000,2414.17,2415.92,2413.69,2415.11,63.7195
1787481180000,2415.12,2417.01,2415.12,2416.96,72.8583
1787481240000,2416.95,2417.72,2416.55,2417.4,96.6245
1787481300000,2417.41,2417.77,2416.35,2416.35,50.0164
1787481360000,2416.34,2417.93,2415.82,2417.13,184.5151
1787481420000,2417.13,2417.39,2416.18,2417.03,87.6762
1787481480000,2417.04,2418.12,2416.71,2417.96,137.4194
1787481540000,2417.95,2417.95,2415.59,2415.81,82.1732
1787481600000,2415.81,2416.37,2415.01,2416.35,36.2701
1787481660000,2416.36,2417.2,2416.15,2416.67,129.6603
1787481720000,2416.67,2416.85,2416.2,2416.78,74.7087
1787481780000,2416.78,2417,2415.96,2416.5,107.6508
1787481840000,2416.5,2416.99,2416.5,2416.57,36.0998
