timestamp,open,high,low,close,volume
1787652000000,79161,79452.7,78958,79275.8,5991.104
1787655600000,79275.8,79460.8,79003.5,79097,5564.278
1787659200000,79097,79153.4,78600,78949.9,11355.014
1787662800000,78950,79194.9,78100.1,78627.3,21011.479
1787666400000,78627.7,79359.2,78505.7,79211.4,15181.216
1787670000000,79211.4,79499.9,78978.1,79463.1,7001.7
1787673600000,79463.1,79539.9,79035.4,79121.5,5858.534
1787677200000,79121.5,79230.2,78709.7,79203.3,6520.317
1787680800000,79203.3,79368.4,79009.7,79090.8,3911.32
1787684400000,79090.8,79200,78677.2,78890.7,4810.358
1787688000000,78890.6,78945.5,78130.1,78168.8,9980.999
1787691600000,78168.8,78635.2,77808.1,78535.8,10777.824
1787695200000,78535.9,78980,78535.9,78850.1,5561.368
1787698800000,78850,78948.8,78351,78505.4,4905.637
1787702400000,78505.5,78683.1,78252.8,78592.8,5070.068
1787706000000,78592.7,78927,78562,78780.9,3819.541
1787709600000,78780.9,79200,78698.6,79070.1,5305.223
1787713200000,79070.1,79150.3,78852.1,79049,2693.766
1787716800000,79049,79149.2,78750,78792.1,3960.407
1787720400000,78792.1,79105,78600,79052.5,4558.377
1787724000000,79052.6,79180.2,78774.4,78908.9,3841.474
1787727600000,78908.9,79065.1,78824.4,78887,2592.854
1787731200000,78887.1,79087.9,78570.3,78677,4504.331
1787734800000,78677,78850,78208,78415.5,7389.886
1787738400000,78415.2,78858.1,78260.6,78688.5,5038.83
1787742000000,78688.5,78750,78274.1,78442.6,4111.088
1787745600000,78442.6,78679.2,77906.4,78280.5,9713.42
1787749200000,78280.4,78518.7,77850,78407,13435.043
1787752800000,78406.9,78560,77722.5,77764.4,11151.8
1787756400000,77764.5,78142,77600,77980.7,9580.367
1787760000000,77980.7,78138,77812.6,77961.2,4543.755
1787763600000,77961.2,78583.7,77961.2,78404,8647.737
1787767200000,78404,78641.3,78244.2,78440.1,4161.447
1787770800000,78440.1,78551.4,78252.1,78434.9,2633.208
1787774400000,78434.9,78492.3,78156.5,78418.2,2127.081
1787778000000,78418.2,78800,78347.8,78682.9,4767.024
1787781600000,78682.9,78945,78513.7,78656.6,4769.076
1787785200000,78656.6,79138.7,78607.3,78989.4,5948.557
1787788800000,78989.4,78999.4,78649.9,78650.1,3310.431
1787792400000,78650,78989,78522.1,78864.6,3469.265
1787796000000,78864.6,78951,78666.1,78697.2,2050.407
1787799600000,78697.2,78967,78605.5,78801.8,3557.455
1787803200000,78801.8,78874,78651,78746.1,1646.445
1787806800000,78746,78904.7,78566.5,78888.1,3153.737
1787810400000,78888.1,78888.1,78575.6,78795.6,4134.194
1787814000000,78795.6,79074,78720,79054.4,2883.234
1787817600000,79054.3,79992.5,79015,79722.8,19780.554
1787821200000,79722.7,80499.9,79640.7,79957.8,13876.54
1787824800000,79957.8,80128.8,79300,79599,10083.208
1787828400000,79599.5,79739.1,79131.8,79440.1,6423.908
1787832000000,79440.1,79558.9,79226,79247.3,3937.944
1787835600000,79247.4,79539.8,78864,79492.9,12075.411
1787839200000,79492.9,80350,79308,80161.2,16873.891
1787842800000,80161.3,80766.8,80048,80273.6,15924.076
1787846400000,80273.7,80607.3,80163,80335.9,7404.569
1787850000000,80335.9,80845.1,80200,80415.1,9323.819
1787853600000,80415.1,80415.1,79707,80120,9971.665
1787857200000,80120,80252,79800,79877.9,5591.089
1787860800000,79877.9,80090.9,79843.3,80066.3,2646.193
1787864400000,80066.3,80150,79936.4,80149.9,2336.962
1787868000000,80149.9,80399.5,80110.1,80264.9,3324.914
1787871600000,80264.9,80359,80091.1,80208.9,1682.552
1787875200000,80208.9,80680,80110.6,80537.5,4728.496
1787878800000,80537.5,81500,80386.6,80467.1,16909.212
1787882400000,80467.1,80467.1,79659.2,79888.1,13190.653
1787886000000,79888,80017.4,79731.9,79783.3,4603.019
1787889600000,79783.3,79942.3,79560.2,79616.3,5394.535
1787893200000,79616.3,79847.3,79522.3,79657.7,4240.911
1787896800000,79657.7,79971,79657.7,79863.9,2720.212
1787900400000,79863.9,79864,79538.9,79645.6,5384.541
1787904000000,79645.7,79815,79440,79484,4667.941
1787907600000,79483.9,79487.5,79179.7,79254.5,6441.871
1787911200000,79254.5,79545.6,78961.5,79528.4,8496.915
1787914800000,79528.4,79733.7,79504.7,79563.2,4741.843
1787918400000,79563.2,79685,79264.2,79383.7,3953.776
1787922000000,79383.7,79511.2,78972.8,79279.9,10136.722
1787925600000,79281.7,79683.2,78400,79512.3,35801.986
1787929200000,79512.3,79840,78271,78309,17868.659
1787932800000,78309,78381.6,76853.1,77755.9,37671.934
1787936400000,77755.8,78099,77626.9,77877.1,9243.56
1787940000000,77877.1,77913,77242.8,77533.4,7720.701
1787943600000,77533.4,77807.7,77286.7,77546.4,5437.362
1787947200000,77546.3,77591,77280,77377,3647.667
1787950800000,77377,77507.7,77210.8,77341.9,2839.254
1787954400000,77342,77742,77310.8,77723.8,4466.216
1787958000000,77723.9,77824.1,77606.9,77805.9,2114.12
1787961600000,77805.9,77920,77686.1,77703.7,3025.429
1787965200000,77703.7,77816,77596,77762.2,1795.646
