[2026-06-03 10:02:03] [38745] [info] Starting Sikelan framework in http mode
[2026-06-03 10:02:03] [38745] [info] Server starting... {"host":"0.0.0.0","port":9502}
[2026-06-03 10:02:04] [38748] [info] Worker 21 started
[2026-06-03 10:02:04] [38747] [info] Worker 20 started
[2026-06-03 10:02:04] [38750] [info] Worker 23 started
[2026-06-03 10:02:04] [38749] [info] Worker 22 started
[2026-06-03 10:02:04] [38751] [info] Worker 24 started
[2026-06-03 10:02:04] [38752] [info] Worker 25 started
[2026-06-03 10:02:04] [38753] [info] Worker 26 started
[2026-06-03 10:02:04] [38754] [info] Worker 27 started
[2026-06-03 10:02:04] [38755] [info] Worker 28 started
[2026-06-03 10:02:04] [38756] [info] Worker 29 started
[2026-06-03 10:02:04] [38759] [info] Worker 2 started
[2026-06-03 10:02:04] [38758] [info] Worker 1 started
[2026-06-03 10:02:04] [38757] [info] Worker 0 started
[2026-06-03 10:02:04] [38757] [info] Crontab service started
[2026-06-03 10:02:04] [38761] [info] Worker 4 started
[2026-06-03 10:02:04] [38762] [info] Worker 5 started
[2026-06-03 10:02:04] [38760] [info] Worker 3 started
[2026-06-03 10:02:04] [38764] [info] Worker 7 started
[2026-06-03 10:02:04] [38763] [info] Worker 6 started
[2026-06-03 10:02:04] [38766] [info] Worker 9 started
[2026-06-03 10:02:04] [38765] [info] Worker 8 started
[2026-06-03 10:02:04] [38767] [info] Worker 10 started
[2026-06-03 10:02:04] [38768] [info] Worker 11 started
[2026-06-03 10:02:04] [38769] [info] Worker 12 started
[2026-06-03 10:02:04] [38770] [info] Worker 13 started
[2026-06-03 10:02:04] [38771] [info] Worker 14 started
[2026-06-03 10:02:04] [38773] [info] Worker 16 started
[2026-06-03 10:02:04] [38772] [info] Worker 15 started
[2026-06-03 10:02:04] [38775] [info] Worker 18 started
[2026-06-03 10:02:04] [38776] [info] Worker 19 started
[2026-06-03 10:02:04] [38774] [info] Worker 17 started
